T6SS_gene,COG_ID,Gene_Tag,Organism,TaxID,Assembly_ID,Protein_Accession,Protein_Length,Footprint,Footprint_Length,Profile_Length,Bitscore,Evalue,Membership_Class,Membership_Description,Taxonomic_Category
tssG,COG3520,NT01EI_RS11920,Edwardsiella_ictaluri_93-146,634503,GCF_000022885.2,WP_015872012.1,341,1-341,341,335.0,238.0,1.51e-76,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,NX720_RS18460,Endozoicomonas_euniceicola_EF212,1234143,GCF_025562755.1,WP_262596569.1,348,1-348,348,335.0,88.7,1.18e-19,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,O0S08_RS06720,Nannocystis_poenicansa_FL3,2995304,GCF_026965555.1,WP_269038183.1,344,1-344,344,335.0,165.0,4.12e-48,0,footprint covers most of the protein and most of the COG profile,MYXOCOCCOTA
tssG,COG3520,O6P33_RS10725,Denitrificimonas_caeni_CE14,521720,GCF_027498055.1,WP_269819518.1,352,1-352,352,335.0,211.0,1.44e-65,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OCU43_RS03785,Amphritea_atlantica_JCM_14776,355243,GCF_024347255.1,WP_091362253.1,423,1-134,134,335.0,63.5,6.28e-11,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OCU43_RS03785,Amphritea_atlantica_JCM_14776,355243,GCF_024347255.1,WP_091362253.1,423,135-423,289,335.0,206.0,5.94e-63,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OCU49_RS00910,Aliamphritea_ceti_KCTC_42154,1524258,GCF_024347215.1,WP_261843152.1,316,1-316,316,335.0,107.0,1.31e-26,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OCU49_RS11250,Aliamphritea_ceti_KCTC_42154,1524258,GCF_024347215.1,WP_261845081.1,431,1-95,95,335.0,79.4,3.45e-16,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OCU49_RS11250,Aliamphritea_ceti_KCTC_42154,1524258,GCF_024347215.1,WP_261845081.1,431,96-431,336,335.0,208.0,1.66e-63,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssG,COG3520,ODI_RS03990,Orrella_dioscoreae,1851544,GCF_900089455.2,WP_162292288.1,367,1-367,367,335.0,214.0,9.54e-67,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,ODI_RS20090,Orrella_dioscoreae,1851544,GCF_900089455.2,WP_067750585.1,371,1-371,371,335.0,220.0,6.06e-69,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,OH818_RS07665,Jiella_pelagia_HL-NP1,2986949,GCF_026898155.1,WP_268882450.1,363,1-363,363,335.0,186.0,5.6e-56,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,OIU35_02515,Boseaceae_bacterium_BT-24-1,2986926,GCA_025846845.1,MCV9935227.1,347,1-347,347,335.0,234.0,1.03e-74,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,OIU35_03425,Boseaceae_bacterium_BT-24-1,2986926,GCA_025846845.1,MCV9935404.1,326,1-326,326,335.0,227.0,2e-72,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,OJF2_RS11370,Aquisphaera_giovannonii_OJF2,406548,GCF_008087625.1,WP_148593818.1,394,1-394,394,335.0,238.0,7.8e-76,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,OJF58_RS18920,Enhydrobacter_bin_2004,1894999,GCF_030246845.1,WP_300779305.1,359,1-359,359,335.0,162.0,9.03e-47,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,OLEAN_C25960,Oleispira_antarctica_RB-8,698738,GCA_000967895.1,CCK76772.1,340,1-340,340,335.0,229.0,8.64e-73,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OLMES_RS23875,Oleiphilus_messinensis_ME102,141451,GCF_002162375.1,WP_157678515.1,394,1-394,394,335.0,198.0,4.2e-60,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OOT55_RS16580,Marinimicrobium_C6131,3022676,GCF_026153455.1,WP_265366950.1,375,1-375,375,335.0,189.0,4.9e-57,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,OTERR_RS14570,Oryzomicrobium_terrae_TPP412,1735038,GCF_008274805.1,WP_223115957.1,318,1-318,318,335.0,174.0,6.95e-52,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,P0E69_RS06380,Chimaeribacter_arupi_DSM_115072,2060066,GCF_030582835.1,WP_304483118.1,361,1-361,361,335.0,247.0,1.41e-79,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,P0E69_RS10680,Chimaeribacter_arupi_DSM_115072,2060066,GCF_030582835.1,WP_101828938.1,364,1-364,364,335.0,215.0,6.65e-67,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,P0H77_RS05285,Superficieibacter_HKU1,3031919,GCF_029319185.1,WP_276163884.1,331,1-331,331,335.0,320.0,1.78e-108,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,P0H77_RS18685,Superficieibacter_HKU1,3031919,GCF_029319185.1,WP_276158710.1,347,1-347,347,335.0,288.0,6.65e-96,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,P0M04_RS06240,Telluria_mixta_ACM_1762,34071,GCF_029223865.1,WP_259448087.1,335,1-335,335,335.0,275.0,4.08e-91,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,P0M04_RS09200,Telluria_mixta_ACM_1762,34071,GCF_029223865.1,WP_259451813.1,369,1-369,369,335.0,198.0,1.76e-60,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,P0M04_RS15530,Telluria_mixta_ACM_1762,34071,GCF_029223865.1,WP_259451661.1,377,1-377,377,335.0,191.0,9.77e-58,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,P0M04_RS28720,Telluria_mixta_ACM_1762,34071,GCF_029223865.1,WP_259450943.1,333,1-333,333,335.0,183.0,4.89e-55,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,P0M28_RS19850,Tunicatimonas_pelagia_NBRC_107804,931531,GCF_030506325.1,WP_302204505.1,321,108-321,214,335.0,63.3,5.32e-11,3,partial match on both protein and COG profile,BACTEROIDOTA
tssG,COG3520,P7V53_RS25460,Piscinibacter_XHJ-5,3037797,GCF_029855045.1,WP_280152288.1,366,1-366,366,335.0,246.0,4.88e-79,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,PA0089,Pseudomonas_aeruginosa_PAO1,208964,GCF_000006765.1,NP_248779.1,348,1-348,348,335.0,335.0,2.96e-114,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PA1661,Pseudomonas_aeruginosa_PAO1,208964,GCF_000006765.1,NP_250352.1,335,1-335,335,335.0,303.0,5.3e-102,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PA2370,Pseudomonas_aeruginosa_PAO1,208964,GCF_000006765.1,NP_251060.1,338,1-338,338,335.0,257.0,6.27e-84,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PANA_RS11955,Pantoea_ananatis_LMG_20103,706191,GCF_000025405.2,WP_013026234.1,349,1-349,349,335.0,259.0,1.73e-84,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PANA_RS21000,Pantoea_ananatis_LMG_20103,706191,GCF_000025405.2,WP_013027966.1,361,1-361,361,335.0,229.0,1.03e-72,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PBPR_RS03415,Photobacterium_profundum_SS9,298386,GCF_000196255.1,WP_041393901.1,322,1-322,322,335.0,178.0,2.28e-53,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PCAR_RS15280,Syntrophotalea_carbinolica_DSM_2380,338963,GCF_000012885.1,WP_011342600.1,325,1-325,325,335.0,174.0,1.11e-51,0,footprint covers most of the protein and most of the COG profile,THERMODESULFOBACTERIOTA
tssG,COG3520,PDEN_RS12170,Paracoccus_denitrificans_PD1222,318586,GCF_000203895.1,WP_011748728.1,345,1-345,345,335.0,181.0,3.58e-54,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,PFY06_RS17540,Pseudoroseomonas_cervicalis_PL22-11A,204525,GCF_027920465.1,WP_271138240.1,311,1-311,311,335.0,147.0,9.36e-42,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,PING_RS00145,Psychromonas_ingrahamii_37,357804,GCF_000015285.1,WP_011768456.1,317,1-317,317,335.0,131.0,1.58e-35,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PLABR_RS08765,Rubinisphaera_brasiliensis_DSM_5305,756272,GCF_000165715.2,WP_013628079.1,366,1-366,366,335.0,220.0,3.47e-69,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,PLU_RS01790,Photorhabdus_laumondii_sub_laumondii_TTO1,243265,GCF_000196155.1,WP_041379883.1,350,1-350,350,335.0,310.0,3.08e-104,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PLU_RS11460,Photorhabdus_laumondii_sub_laumondii_TTO1,243265,GCF_000196155.1,WP_011146544.1,336,1-336,336,335.0,146.0,5.91e-41,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PLU_RS16050,Photorhabdus_laumondii_sub_laumondii_TTO1,243265,GCF_000196155.1,WP_011147428.1,362,1-362,362,335.0,229.0,1.13e-72,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PLU_RS20775,Photorhabdus_laumondii_sub_laumondii_TTO1,243265,GCF_000196155.1,WP_041380379.1,358,1-358,358,335.0,226.0,1.93e-71,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PMI_RS03665,Proteus_mirabilis_HI4320,529507,GCF_000069965.1,WP_004244621.1,345,1-345,345,335.0,291.0,3.95e-97,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PMPD1_0726,Erwiniaceae_bacterium_PD-1,2740817,GCA_013285385.1,QKJ85698.1,353,1-353,353,335.0,261.0,4.58e-85,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PMPD1_2740,Erwiniaceae_bacterium_PD-1,2740817,GCA_013285385.1,QKJ87679.1,352,1-352,352,335.0,213.0,1.38e-66,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PP_RS13660,Pseudomonas_putida_KT2440,160488,GCF_000007565.2,WP_010953540.1,338,1-338,338,335.0,229.0,7.55e-73,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PP_RS16035,Pseudomonas_putida_KT2440,160488,GCF_000007565.2,WP_003248350.1,356,1-356,356,335.0,253.0,3.62e-82,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PP_RS21175,Pseudomonas_putida_KT2440,160488,GCF_000007565.2,WP_010954869.1,338,1-338,338,335.0,235.0,1.95e-75,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PSLF89_RS30025,Piscirickettsia_salmonis_LF-89_ATCC_VR-1361,1227812,GCF_000300295.4,WP_027242850.1,318,71-318,248,335.0,70.6,1.96e-13,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PSTA_RS09000,Pirellula_staleyi_DSM_6068,530564,GCF_000025185.1,WP_012910774.1,345,1-345,345,335.0,287.0,1.39e-95,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,PSYR_RS25740,Pseudomonas_syringae_pv._syringae_B728a,205918,GCF_000012245.1,WP_011269329.1,356,1-356,356,335.0,264.0,1.92e-86,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PT7_RS01655,Pusillimonas_T7-7,1007105,GCF_000209655.1,WP_013741437.1,359,1-359,359,335.0,246.0,2.41e-79,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,PT7_RS11400,Pusillimonas_T7-7,1007105,GCF_000209655.1,WP_013743404.1,346,1-346,346,335.0,147.0,4.19e-41,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,PVE73_RS08025,Chelativorans_AA-79,3028735,GCF_029457495.1,WP_277366433.1,358,1-358,358,335.0,235.0,6.41e-75,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,PVE73_RS19495,Chelativorans_AA-79,3028735,GCF_029457495.1,WP_277363828.1,334,1-334,334,335.0,198.0,1.1e-60,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,PX52LOC_RS31750,Limnoglobus_roseus_PX52,2598579,GCF_008254045.1,WP_149113846.1,387,1-387,387,335.0,208.0,4.56e-64,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,PX52LOC_RS33180,Limnoglobus_roseus_PX52,2598579,GCF_008254045.1,WP_149114101.1,421,1-421,421,335.0,201.0,6.5e-61,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,PXO_RS07350,Xanthomonas_oryzae_pv._oryzae_PXO99A,360094,GCF_000019585.2,WP_012444495.1,336,1-336,336,335.0,261.0,1.51e-85,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PXO_RS17600,Xanthomonas_oryzae_pv._oryzae_PXO99A,360094,GCF_000019585.2,WP_012445670.1,363,1-363,363,335.0,235.0,9.4e-75,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,PZB72_RS20875,Catalinimonas_niigatensis_NBRC_109829,1397264,GCF_030506285.1,WP_302250340.1,317,190-317,128,335.0,52.9,1.43e-07,3,partial match on both protein and COG profile,BACTEROIDOTA
tssG,COG3520,Pan181_RS21925,Aeoliella_mucimassa_Pan181,2527972,GCF_007748035.1,WP_145250180.1,390,1-390,390,335.0,221.0,4.19e-69,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,Pan97_RS03935,Bremerella_volcania_Pan97,2527984,GCF_007748115.1,WP_144970846.1,379,1-379,379,335.0,270.0,2.96e-88,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,Pla8534_RS13960,Lignipirellula_cremea_Pla85_3_4,2528010,GCF_007751035.1,WP_145053788.1,389,1-389,389,335.0,240.0,1.61e-76,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,Q31a_RS09105,Aureliella_helgolandensis_Q31a,2527968,GCF_007752135.1,WP_145076805.1,411,1-411,411,335.0,213.0,5.12e-66,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,Q31a_RS17885,Aureliella_helgolandensis_Q31a,2527968,GCF_007752135.1,WP_145080831.1,355,1-355,355,335.0,253.0,3.12e-82,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,Q5948_RS00245,Candidatus_Nesciobacter_abundans,2601668,GCF_960610765.1,WP_148972261.1,394,1-394,394,335.0,95.6,8.7e-22,1,footprint covers most of the COG profile and most part of the protein,ALPHAPROTEOBACTERIA
tssG,COG3520,QC826_RS07580,Rugamonas_DEMB1,3039386,GCF_029834475.1,WP_279765046.1,355,1-355,355,335.0,179.0,1.86e-53,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,QC826_RS13420,Rugamonas_DEMB1,3039386,GCF_029834475.1,WP_279766035.1,360,1-360,360,335.0,168.0,5.03e-49,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,QC826_RS15265,Rugamonas_DEMB1,3039386,GCF_029834475.1,WP_279766341.1,433,1-177=247-433,364,335.0,222.0,8.36e-31,1,footprint covers most of the COG profile and most part of the protein,BETAPROTEOBACTERIA
tssG,COG3520,QMG90_RS03470,Trabulsiella_odontotermitis_TBY01,379893,GCF_030053895.1,WP_283282734.1,348,1-348,348,335.0,309.0,8.19e-104,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,QP803_RS18700,Acidisoma_PAMC_29798,3040935,GCF_030252425.1,WP_284944993.1,378,1-378,378,335.0,180.0,1.36e-53,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,QQ39_RS05605,Pragia_fontium_24613,82985,GCF_001026985.1,WP_047780366.1,325,1-325,325,335.0,277.0,4.89e-92,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,QQ39_RS08445,Pragia_fontium_24613,82985,GCF_001026985.1,WP_047780847.1,346,1-346,346,335.0,218.0,1.99e-68,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,QQ39_RS14810,Pragia_fontium_24613,82985,GCF_001026985.1,WP_047781912.1,346,1-346,346,335.0,218.0,2.53e-68,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,QQM06_RS02520,Candidatus_Cytomitobacter_primus,2601575,GCF_951805245.1,WP_148971574.1,339,1-339,339,335.0,112.0,4.11e-28,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,QTN59_09925,Candidatus_Electrothrix_communis,1859133,GCA_030644725.1,WLE99138.1,343,1-343,343,335.0,209.0,5.85e-65,0,footprint covers most of the protein and most of the COG profile,THERMODESULFOBACTERIOTA
tssG,COG3520,R2J76_RS14750,Mesoterricola_silvestris_W79,2927979,GCF_030295405.1,WP_316412398.1,354,1-354,354,335.0,182.0,1.34e-54,0,footprint covers most of the protein and most of the COG profile,ACIDOBACTERIOTA
tssG,COG3520,R2K28_RS10575,Candidatus_Thiodiazotropha_CDECU1,3065865,GCF_963455295.1,WP_316364283.1,346,1-346,346,335.0,283.0,8.09e-94,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,RAHAQ_RS22840,Rahnella_aceris_Y9602,2703885,GCF_000187705.1,WP_013577842.1,360,1-360,360,335.0,223.0,1.64e-70,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,RAHAQ_RS23900,Rahnella_aceris_Y9602,2703885,GCF_000187705.1,WP_013578058.1,361,1-361,361,335.0,226.0,1.28e-71,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,RAHAQ_RS24515,Rahnella_aceris_Y9602,2703885,GCF_000187705.1,WP_013578178.1,315,1-315,315,335.0,165.0,1.48e-48,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,RB_RS19905,Rhodopirellula_baltica_SH_1,243090,GCF_000196115.1,WP_011122431.1,349,1-349,349,335.0,187.0,1.33e-56,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,RC74_RS04930,Falsihalocynthiibacter_arcticus_PAMC_20958,1579316,GCF_000812665.2,WP_156477414.1,330,1-330,330,335.0,263.0,1.78e-86,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,RD2015_RS13265,Roseateles_depolymerans_KCTC_42856,76731,GCF_001483865.1,WP_170156669.1,432,61-432,372,335.0,254.0,1.61e-81,1,footprint covers most of the COG profile and most part of the protein,BETAPROTEOBACTERIA
tssG,COG3520,REIFOR_RS00710,Reinekea_forsetii_Hel1_31_D35,1336806,GCF_002795845.1,WP_100255736.1,259,65-259,195,335.0,46.3,1.61e-05,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,RG540_RS28265,Neorhizobium_galegae_bv._orientalis_HAMBI_540,1028800,GCF_000731315.1,WP_041365459.1,352,1-352,352,335.0,215.0,2.29e-67,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,RGE_RS12505,Rubrivivax_gelatinosus_IL144,983917,GCF_000284255.1,WP_014428772.1,356,1-356,356,335.0,226.0,2.27e-71,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,RGE_RS14785,Rubrivivax_gelatinosus_IL144,983917,GCF_000284255.1,WP_148280201.1,325,1-325,325,335.0,128.0,2.11e-34,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,RL_RS35255,Rhizobium_johnstonii_3841,216596,GCF_000009265.1,WP_011649232.1,333,1-333,333,335.0,212.0,2.87e-66,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,RSKD131_RS17730,Cereibacter_sphaeroides_KD131_KCTC_12085,557760,GCF_000021005.1,WP_041670471.1,332,1-332,332,335.0,171.0,1.81e-50,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssG,COG3520,RS_RS20695,Ralstonia_pseudosolanacearum_GMI1000,267608,GCF_000009125.1,WP_011004046.1,363,1-363,363,335.0,286.0,9.45e-95,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,S70_RS09390,Providencia_stuartii_MRSN_2154,1157951,GCF_000259175.1,WP_014657066.1,345,1-345,345,335.0,290.0,7.42e-97,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,SALWKB2_RS00520,Snodgrassella_alvi_wkB2,1196094,GCF_000600005.1,WP_025329751.1,350,1-350,350,335.0,291.0,7.15e-97,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,SALWKB2_RS11620,Snodgrassella_alvi_wkB2,1196094,GCF_000600005.1,WP_025330514.1,320,1-320,320,335.0,125.0,2.8e-33,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,SCE_RS25645,Sorangium_cellulosum_So_ce56,448385,GCF_000067165.1,WP_012237630.1,377,1-377,377,335.0,209.0,1.44e-64,0,footprint covers most of the protein and most of the COG profile,MYXOCOCCOTA
tssG,COG3520,SCE_RS47745,Sorangium_cellulosum_So_ce56,448385,GCF_000067165.1,WP_012241945.1,360,1-360,360,335.0,216.0,1.38e-67,0,footprint covers most of the protein and most of the COG profile,MYXOCOCCOTA
tssG,COG3520,SDE_RS08045,Saccharophagus_degradans_2-40,203122,GCF_000013665.1,WP_083762969.1,349,1-349,349,335.0,198.0,1.08e-60,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,SG34_RS13440,Thalassomonas_viridans_XOM25,137584,GCF_000948985.2,WP_044841316.1,336,1-336,336,335.0,211.0,5.96e-66,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,SG34_RS15090,Thalassomonas_viridans_XOM25,137584,GCF_000948985.2,WP_044839224.1,364,1-364,364,335.0,138.0,1.17e-37,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,SG34_RS18060,Thalassomonas_viridans_XOM25,137584,GCF_000948985.2,WP_053046477.1,336,1-336,336,335.0,218.0,9.73e-69,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,SG34_RS29340,Thalassomonas_viridans_XOM25,137584,GCF_000948985.2,WP_044840461.1,328,1-328,328,335.0,94.5,1.01e-21,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,SINAC_RS11840,Singulisphaera_acidiphila_DSM_18658,886293,GCF_000242455.2,WP_015245870.1,335,1-335,335,335.0,273.0,4.64e-90,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,SMDB11_RS11240,Serratia_marcescens_sub_marcescens_Db11,273526,GCF_000513215.1,WP_049206010.1,356,1-356,356,335.0,253.0,4.69e-82,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,STM0267,Salmonella_enterica_sub_enterica_serovar_Typhimurium_LT2,99287,GCF_000006945.2,NP_459264.1,331,1-331,331,335.0,329.0,3.33e-112,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,STSP1_RS06650,Sedimentisphaera_salicampi_ST-PulAB-D4,1941349,GCF_002117005.1,WP_085755603.1,333,1-333,333,335.0,245.0,3.68e-79,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssG,COG3520,Slin_4105,Spirosoma_linguale_DSM_74,504472,GCA_000024525.1,ADB40092.1,314,193-314,122,335.0,64.0,2.67e-11,3,partial match on both protein and COG profile,BACTEROIDOTA
tssG,COG3520,TASI_RS00405,Taylorella_asinigenitalis_MCE3,1008459,GCF_000226625.1,WP_014110771.1,409,1-334,334,335.0,281.0,2.51e-92,1,footprint covers most of the COG profile and most part of the protein,BETAPROTEOBACTERIA
tssG,COG3520,TERTU_RS07335,Teredinibacter_turnerae_T7901,377629,GCF_000023025.1,WP_015816824.1,371,1-371,371,335.0,236.0,1.93e-75,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,THII_1015,Thioploca_ingrica,40754,GCA_000828835.1,BAP55312.1,380,1-380,380,335.0,232.0,1.44e-73,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,THIVI_RS11040,Thiocystis_violascens_DSM_198,765911,GCF_000227745.2,WP_014778677.1,344,1-344,344,335.0,284.0,1.95e-94,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,THSYN_RS32850,Candidatus_Thiodictyon_syntrophicum_Cad16T,1166950,GCF_002813775.1,WP_100923244.1,366,1-366,366,335.0,271.0,7.43e-89,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssG,COG3520,TKWG_RS03405,Advenella_kashmirensis_WT001,1036672,GCF_000219915.2,WP_014749482.1,344,1-344,344,335.0,267.0,1.01e-87,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssG,COG3520,TMO_RS18350,Tistrella_mobilis_KA081020-065,1110502,GCF_000264455.2,WP_014747163.1,343,1-343,343,335.0,203.0,1.23e-62,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
